bin,pctOfSteps,stepFrom,stepTo,nSteps,tStart,tEnd,inputTokens,cacheReadTokens,outputTokens,totalTokens,logicalInput,cacheHitPct,meanDepth,meanCtxPerStep,distinctSessions
1,5%,0,501,501,1790324497630,1790324706144,1679735,18215552,273799,20169086,19895287,91.56,1.63,39711,34
2,10%,501,1003,502,1790324706195,1790324799499,2230862,43540608,369806,46141276,45771470,95.13,2.05,91178,44
3,15%,1003,1505,502,1790324799634,1790324903711,887223,47966720,401493,49255436,48853943,98.18,2.32,97319,42
4,20%,1505,2007,502,1790324904415,1790325036438,576637,68289792,539714,69406143,68866429,99.16,2.21,137184,38
5,25%,2007,2509,502,1790325036782,1790325233936,457886,83547776,609660,84615322,84005662,99.45,2.0,167342,31
6,30%,2509,3011,502,1790325235330,1790328008383,1153589,51289728,517081,52960398,52443317,97.8,1.63,104469,65
7,35%,3011,3512,501,1790328008405,1790328049120,1735825,16739328,322307,18797460,18475153,90.6,2.54,36877,80
8,40%,3512,4014,502,1790328049784,1790328100805,1408386,32351104,339680,34099170,33759490,95.83,2.52,67250,75
9,45%,4014,4516,502,1790328100853,1790328167002,1405631,37313408,377092,39096131,38719039,96.37,2.52,77130,94
10,50%,4516,5018,502,1790328167250,1790328232682,937198,45488256,367581,46793035,46425454,97.98,2.52,92481,90
11,55%,5018,5520,502,1790328232714,1790328289511,1234410,53050752,409633,54694795,54285162,97.73,2.49,108138,87
12,60%,5520,6022,502,1790328289513,1790328361674,706966,57686016,482520,58875502,58392982,98.79,2.52,116321,93
13,65%,6022,6524,502,1790328361742,1790328425491,786958,64734976,425528,65947462,65521934,98.8,2.45,130522,88
14,70%,6524,7025,501,1790328425518,1790328498458,693422,71566208,515024,72774654,72259630,99.04,2.45,144231,88
15,75%,7025,7527,502,1790328498599,1790328573538,564347,80878720,499843,81942910,81443067,99.31,2.37,162237,77
16,80%,7527,8029,502,1790328573729,1790328670399,596845,84898304,574967,86070116,85495149,99.3,2.38,170309,71
17,85%,8029,8531,502,1790328670840,1790328803713,431305,91147008,594184,92172497,91578313,99.53,2.27,182427,54
18,90%,8531,9033,502,1790328803732,1790329006150,403998,102512384,587742,103504124,102916382,99.61,2.19,205013,47
19,95%,9033,9535,502,1790329006210,1790329301469,475065,104056064,569375,105100504,104531129,99.55,2.06,208229,35
20,100%,9535,10037,502,1790329302651,1790330236597,468369,103115136,531828,104115333,103583505,99.55,1.77,206342,20
