path,nWriteActs,nWriteSessions,nReadActs,nReadSessions,firstWriterSession,firstWriteTime,firstWriteDepth,readsInheritingFromOtherSession,crossSession
tools/news.sh,58,52,162,89,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,1790324629212,0,160,True
tools/get.sh,59,51,112,90,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,1790324698047,0,111,True
tools/ddg.sh,34,34,74,64,91004cb5-9eb3-4dce-a088-e6396350299a,1790324659737,2,73,True
amplification/Agentic-Threat-Amplification-2026.md,83,2,62,3,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,1790328052156,0,62,True
amplification/findings/04-agentic-capability.md,61,2,55,3,f54b15a3-b0aa-4d8a-961f-1cd6fa0548d6,1790328239230,1,54,True
tools/web.sh,35,31,55,50,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,1790324655614,0,52,True
tools/s.sh,31,29,48,47,91004cb5-9eb3-4dce-a088-e6396350299a,1790324678356,2,47,True
tools/j.sh,32,22,42,30,91004cb5-9eb3-4dce-a088-e6396350299a,1790324900039,2,41,True
amplification/findings/03-computational-propaganda.md,91,2,38,3,b61859d5-9abc-4cc9-8ea7-06c15e81ef05,1790328249828,1,37,True
tools/wsearch.sh,15,14,35,32,1788fcf5-a3e3-46db-9345-cdeacf0a4fa5,1790328003885,2,34,True
tools/bn.sh,24,21,33,29,7d77b175-ad9d-4569-ac05-e9e66bdc78b3,1790324702188,2,31,True
tools/n.py,6,6,64,8,a03701b7-142d-488a-a322-e5feeafd11d9,1790324693045,2,30,True
amplification/sources/raw-adversary.md,30,2,28,2,46b82e74-e114-4473-b55d-e2c13cfef604,1790328473614,1,25,True
research/search.sh,4,4,24,17,c2e2b954-63bb-4c00-8d45-37e953901183,1790324623654,1,24,True
sources/anthropic-ti-sep2026.txt,4,3,33,8,e8b3050c-765a-4f10-9bae-9fcc012336ae,1790327984714,2,22,True
tools/pget.py,6,2,32,6,e1f701aa-bb3e-40c8-82b5-4bbd71f77ab5,1790328024538,3,20,True
tools/gn.sh,10,10,17,17,7d77b175-ad9d-4569-ac05-e9e66bdc78b3,1790324666639,2,16,True
research/08-hybrid-nato.md,43,5,39,12,ca75c80e-2ca5-4d1c-afd7-9ad9309b35cf,1790324803502,2,15,True
tools/f.py,14,5,38,8,a03701b7-142d-488a-a322-e5feeafd11d9,1790324693081,2,15,True
research/fetch.py,8,3,16,3,98b0ee43-1076-4c8e-8f8a-9512a5c4cdac,1790324687923,2,15,True
amplification/findings/07-counterexamples.md,33,2,15,4,b0f0ef6b-188b-48bb-a9b0-a808aa6a8393,1790328254892,1,12,True
amplification/notes/stream-d-radchem.md,17,2,14,2,8bc9d075-fab0-400a-9e01-b232d368ee02,1790328536809,3,12,True
tools/ddgs.sh,7,5,11,9,defd571a-2f0d-47a2-8239-28e4b4bccd9e,1790328077113,2,10,True
tools/fetch2.sh,3,3,10,10,46b82e74-e114-4473-b55d-e2c13cfef604,1790328018736,1,9,True
amplification/notes/cost-access.md,20,2,9,3,500069eb-b528-47b9-8cbf-6873331d1c1c,1790328321179,2,9,True
amplification/notes/stream-e-ai-reach.md,19,2,9,2,61b1e41b-32e7-4092-aa70-26577f10fb08,1790328861905,2,9,True
amplification/notes/stream-e-infra.md,16,2,14,2,4b196287-db27-4f90-9ecc-72e329e450d8,1790328559788,2,8,True
research/06-airports-infrastructure.md,18,2,10,7,ac2e73e0-e9f1-433d-94ae-6e2ff77072d7,1790324941644,2,8,True
research/_infrastructure.md,11,3,8,6,69945366-9aea-4a07-a7fb-3ae889133eb7,1790324881010,3,7,True
tools/nc.sh,4,4,8,7,ea5b5eba-bb5c-4abc-a533-fa3166962e11,1790328040784,3,7,True
tools/s.py,5,5,8,6,a03701b7-142d-488a-a322-e5feeafd11d9,1790324672798,2,7,True
research/METHODS.md,1,1,7,7,78eb7cd5-19e0-4682-857d-67f6cdd17f3e,1790324742860,2,7,True
tools/batch.sh,5,5,7,7,f51e95e9-cb4e-4789-88f1-e8f8db604767,1790324705114,3,7,True
amplification/findings/01-concepts.md,5,1,13,5,6f182957-7587-4604-97e9-5b8275f63b51,1790328129207,1,6,True
amplification/sources/abc-havana-2026.txt,1,1,7,7,46b82e74-e114-4473-b55d-e2c13cfef604,1790327939225,1,6,True
research/_germany.md,24,2,7,6,a87a9e47-2c5c-469b-920f-e10080392655,1790324986335,3,6,True
tools/jddg.sh,4,4,6,6,f51e95e9-cb4e-4789-88f1-e8f8db604767,1790324694202,3,6,True
amplification/findings/06-health-military-cases.md,47,1,69,4,46b82e74-e114-4473-b55d-e2c13cfef604,1790328248086,1,5,True
amplification/sources/raw-publichealth.md,21,1,10,3,b1c47186-e044-4c6c-9148-2f6913193f95,1790328236281,2,5,True
amplification/notes/case-d-covid-origin.md,13,2,7,2,b1c47186-e044-4c6c-9148-2f6913193f95,1790329028014,2,5,True
tools/news-nl.sh,4,4,6,6,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,1790324759293,0,5,True
amplification/sources/raw-product-env.md,5,1,5,2,1788fcf5-a3e3-46db-9345-cdeacf0a4fa5,1790328439429,2,5,True
amplification/notes/stream-c-anthrax.md,13,2,13,2,4b196287-db27-4f90-9ecc-72e329e450d8,1790328559788,2,4,True
amplification/notes/case-b-mpox.md,8,1,10,4,7c73d0c4-2fbe-48b3-b02e-f5d48bf540df,1790328341743,3,4,True
amplification/notes/raw-topic3.md,2,1,6,3,7b92362e-8682-4b98-afdf-b980936427fc,1790328406370,3,4,True
research/denmark.md,8,2,5,4,f55f1385-9dbe-48d0-bdb9-b173663b724d,1790325181158,3,4,True
amplification/notes/_sub-network-threat-reports.md,2,1,4,1,dabeb4b9-b19b-4707-bb52-c02368aacf3c,1790328727062,3,4,True
research/belgium.md,2,2,4,3,5c68d179-2392-4852-896c-1a4933d59ebf,1790325251063,3,4,True
research/eu_nato.md,6,2,10,2,c2e2b954-63bb-4c00-8d45-37e953901183,1790324833871,1,3,True
findings/generic_enablers_brief.md,9,2,8,3,2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1790324780464,1,3,True
research/uk_germany.md,8,2,7,1,c2e2b954-63bb-4c00-8d45-37e953901183,1790324833871,1,3,True
research/bsearch.py,1,1,4,3,a87a9e47-2c5c-469b-920f-e10080392655,1790324676710,3,3,True
research/fetch.sh,2,2,4,4,cc1fd076-ce12-4f21-9a03-de36e199d4ef,1790324698999,2,3,True
amplification/research/parts/METHOD-BRIEF.md,1,1,3,3,77ee89e8-327b-4e3a-a160-c2ca700953df,1790328064458,2,3,True
research/gnews.py,2,2,3,3,0c0085ae-9b77-4f1a-a065-50ca523039a1,1790324679970,2,3,True
amplification/sources/sub-effectiveness.md,35,1,19,2,61b1e41b-32e7-4092-aa70-26577f10fb08,1790328309701,2,2,True
amplification/findings/02-risk-psychology.md,23,1,16,3,56542a81-0524-4af5-acd1-92a7cbbf9c8b,1790328291421,1,2,True
amplification/notes/synthetic-corroboration.md,36,2,13,2,8605360c-4c6f-42c8-91a0-b14fdbd777da,1790328516712,2,2,True
amplification/sources/sub-cases-spamouflage-overload.md,10,1,11,3,e88833f3-45c6-4e44-bab5-b0ee7c154093,1790328352644,3,2,True
amplification/research/parts/part-C-iw.md,3,1,7,2,74e3962c-673c-4068-90c4-60d02d23773c,1790328860838,3,2,True
amplification/notes/stream-c-ai-persuasion.md,4,1,6,3,8af84e58-43fa-4764-a1b4-7912b5822dcf,1790328478068,3,2,True
amplification/sources/sub-detection.md,10,1,6,2,e8b3050c-765a-4f10-9bae-9fcc012336ae,1790328334288,2,2,True
research/09-autonomy-countervailing.md,7,1,6,3,a03701b7-142d-488a-a322-e5feeafd11d9,1790324892925,2,2,True
amplification/notes/raw-topic4.md,6,1,5,3,80582e1e-cc24-4c49-bd41-86060a72245a,1790328274913,3,2,True
amplification/findings/personas-3-ai-news-pink-slime.md,2,1,4,2,d66ce668-ccde-4227-ba1d-cc1b1a1ffabb,1790328615176,3,2,True
amplification/findings/personas-6-detection-and-belief-studies.md,14,1,4,2,fc1be9de-04ba-4111-abe0-c4c21b4b864c,1790328671887,3,2,True
amplification/sources/sub-cases-portalkombat-matryoshka.md,2,1,4,3,eeb7ab60-2a68-4c2c-ac20-2ecd68401faa,1790328181055,3,2,True
sources/bulletin-ai-killer-drone-2026.txt,1,1,4,2,2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1790324751892,1,2,True
amplification/research/04-synthetic.md,4,2,3,2,e465e26f-14d4-4ebd-8832-5e216849629a,1790328666447,2,2,True
research/bing.sh,2,2,3,3,98b0ee43-1076-4c8e-8f8a-9512a5c4cdac,1790324672380,2,2,True
tools/bing.sh,2,2,3,2,cf5cf6dc-ad72-4113-af71-f5d02bdcbaa9,1790324891318,3,2,True
tools/gd.sh,3,3,3,3,ea5b5eba-bb5c-4abc-a533-fa3166962e11,1790328142821,3,2,True
ai-planning-uplift-brief.md,1,1,2,1,109e924b-6fb2-4a09-822c-b44e4256f317,1790325117873,1,2,True
amplification/notes/stream-d-sceptical.md,8,1,2,2,e5f8178b-4e43-4785-a609-d874a0b4c8ff,1790328501183,3,2,True
research/02-colombia-ecuador.md,9,1,2,2,c226e74e-90e4-4e33-b349-0decbf893847,1790324923265,2,2,True
amplification/sources/eeas-4th-fimi-2026.txt,1,1,22,4,ea5b5eba-bb5c-4abc-a533-fa3166962e11,1790328377859,3,1,True
amplification/sources/self-amplifying-prior-art.md,42,1,15,2,a4a04330-c73f-4cd8-a92e-9837ccb861ba,1790328677608,2,1,True
research/04-assassination.md,14,1,15,2,cbd79d49-d00e-47b2-8613-1814b77230c7,1790324823395,2,1,True
amplification/findings/05-drone-cases.md,19,1,12,2,f5d926fb-1c4e-4c16-af8f-c7dce00748fd,1790328802390,1,1,True
amplification/findings/personas-5-deepfakes-synthetic-evidence.md,7,1,11,2,53ed1b24-a136-4bab-84d3-06ff837a055d,1790328297450,3,1,True
research/03-contraband-prisons.md,14,1,9,2,7d77b175-ad9d-4569-ac05-e9e66bdc78b3,1790324922812,2,1,True
amplification/sources/cascade-theory.md,10,1,8,2,1e0ef8e5-13ab-407d-9611-97e58bc5370f,1790328940752,2,1,True
ai-targeting-loitering-munitions-brief.md,18,1,7,2,99dae34e-50a3-42d8-b818-f7eda5a3f4f6,1790324854504,1,1,True
amplification/notes/case-c-diseasex.md,6,1,6,2,51cd8c6f-79cc-4c21-9a72-2bb7c3828e01,1790328636408,3,1,True
criminal-misuse-brief.md,19,1,5,2,214d85c6-dbe8-43ae-bb06-96929af0216d,1790325059762,1,1,True
drone-ai-threat-brief.md,28,1,5,2,c2e2b954-63bb-4c00-8d45-37e953901183,1790324911010,1,1,True
sources/eu-socta-2025-summary.txt,2,2,5,4,e49930ac-674f-41f7-8ead-2c84161d693d,1790324725237,1,1,True
amplification/findings/drone-cases-amplification-retractions.md,15,1,4,2,8a55607d-c2f7-40a7-8d99-f0d1e5c44581,1790328338627,2,1,True
amplification/notes/raw-topic2.md,3,1,4,2,42c75fd5-9805-461d-bb22-827fd626fba5,1790328302201,3,1,True
sources/nl-nctv-drones.txt,1,1,4,3,dc0b75f5-7e62-49c9-a810-8793a1c7648f,1790327938214,1,1,True
amplification/findings/personas-2-fake-experts-networks.md,2,1,3,2,f5df77f0-07e0-4f4c-b651-3c39c0ad7fc5,1790328376920,3,1,True
amplification/sources/wiki-tylenol.txt,1,1,3,2,1788fcf5-a3e3-46db-9345-cdeacf0a4fa5,1790327978968,2,1,True
sources/ecfr-buzzkill.txt,1,1,3,2,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,1790324742535,0,1,True
sources/eeas-4th-fimi-2026.txt,2,2,3,2,5fe471da-406c-4b74-ac78-9e1d2d25a90f,1790328163643,3,1,True
amplification/notes/citizenlab_blackcore.txt,1,1,2,2,dabeb4b9-b19b-4707-bb52-c02368aacf3c,1790328462832,3,1,True
amplification/notes/llm-io.md,2,1,2,2,1ece4a27-295e-45a1-b4e8-f4a61be5e7a2,1790329636927,3,1,True
amplification/sources/sub-personas-DRAFT.md,1,1,2,2,31ca772b-cb14-42f3-b07d-64354d9cda59,1790328363092,2,1,True
defender-economics-brief.md,9,1,2,2,e49930ac-674f-41f7-8ead-2c84161d693d,1790324780246,1,1,True
iran-drone-findings.md,6,1,2,2,dfc6a190-85d7-4f6a-a2d3-52df9a1a18eb,1790325080709,2,1,True
research/07-nl-be-organised-crime.md,7,1,2,2,4f250851-e006-4514-a721-35202c9cd223,1790324794787,2,1,True
research/germany_findings.md,4,1,2,2,8e5bc453-00b8-4d6d-8809-d06846ad9c63,1790324956903,3,1,True
research/get.sh,1,1,2,2,98b0ee43-1076-4c8e-8f8a-9512a5c4cdac,1790324685127,2,1,True
research/newsearch.sh,2,1,2,2,69945366-9aea-4a07-a7fb-3ae889133eb7,1790324684980,3,1,True
