session,depth,label,agent_coordination,bash_other,delegation,deliverable,external_fetch,external_search,other,shared_read,shared_rw,shared_write,sharedIOPct
00b48589-437f-4e6d-9dea-4db4e0da97f3,3,Undersea infrastructure incidents,1,0,0,0,22,0,0,0,0,0,0.0
00e8d90f-0854-4fba-84ad-ab19fe7fb462,2,Research loitering munitions market,0,0,0,0,11,1,0,0,0,0,0.0
010532ac-1274-460b-a461-1b7566bc3f87,3,Verify German drone episodes,0,56,0,0,5,0,4,4,3,0,9.7
03610d94-497f-4c66-86a1-26dedb722877,3,Compute cost curve research,1,70,0,1,5,0,3,7,5,1,14.0
061dc849-dc73-4073-a541-119ab5377aa9,3,Research amplification and attribution,0,40,0,0,5,0,0,2,2,0,8.2
0995197a-2bd6-40b0-9e9f-95c97303a4b0,3,France drone incidents and law,2,48,3,1,0,0,2,1,0,2,5.1
0bad5fb6-bd2c-4a53-9a01-4b5f2a60311f,3,Sweden Säpo drones research,2,41,0,1,0,0,2,1,0,3,8.0
0c0085ae-9b77-4f1a-a065-50ca523039a1,2,Mexico LatAm cartel drones,1,78,0,1,2,2,1,3,2,9,14.1
0c1ed671-3cc2-4e4b-9068-6dd263c5f1b6,3,RAND IO and counter-propaganda,1,46,0,0,1,0,0,0,0,0,0.0
0d16099c-35f0-4538-a480-5c5c15cf5b87,3,Research stream F IRA official,1,85,2,1,2,0,0,2,1,8,10.8
109e924b-6fb2-4a09-822c-b44e4256f317,1,AI-assisted planning and coordination,1,69,0,1,12,10,1,0,2,1,3.1
160bfb86-67c6-40e3-921b-b3686e80f6df,3,Moral panic research,1,46,0,0,4,0,0,0,0,0,0.0
16a40545-5872-4714-bcb8-3b7c88271b52,3,Dual-use supply chain and low-cost end,0,36,2,0,0,0,1,10,1,0,22.0
1788fcf5-a3e3-46db-9345-cdeacf0a4fa5,2,Product and food scare strand,1,43,0,1,4,0,3,28,5,5,42.2
17a084cf-9432-43a8-b80b-8919b47feba3,3,Research stream B effects,1,77,0,1,2,0,0,5,1,5,12.0
1b475704-43dc-4507-a2f9-d7efa55e7b9c,3,Research Langley AFB drone incursions,0,52,0,0,2,0,0,1,0,0,1.8
1bf60fa7-70cb-49e0-87a2-17d8a39320a6,3,Pink slime and economics,1,67,3,1,24,0,3,5,0,2,6.6
