session,parent,depth,origin,label,createdAt,firstEvent,lastEvent,nEvents,nSteps,nToolCalls,nSubagentSpawns,nSendMessage,nPresent,nWebSearch,nWebFetch,nBash,nRead,nWrite,nEdit,nGrep,nGlob,inputTokens,cacheReadTokens,outputTokens,reasoningTokens,totalTokens,logicalContext,maxStepContext,malformed,provider,model,reasoningEffort,mode
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,,0,root,,1790324469511,1790324469536,1790330236600,2051,338,391,16,10,18,9,6,168,31,3,112,0,0,351381,129582592,286031,98171,130220004,129933973,598254,0,,,,
00b48589-437f-4e6d-9dea-4db4e0da97f3,ca75c80e-2ca5-4d1c-afd7-9ad9309b35cf,3,subagent,Undersea infrastructure incidents,1790324702132,1790324702135,1790324760171,98,13,23,0,1,0,0,22,0,0,0,0,0,0,199777,1059712,7891,1504,1267380,1259489,212123,0,deepseek-official,deepseek-flash,high,continuable
00e8d90f-0854-4fba-84ad-ab19fe7fb462,99dae34e-50a3-42d8-b818-f7eda5a3f4f6,2,subagent,Research loitering munitions market,1790324636312,1790324636318,1790324674118,64,4,12,0,0,0,1,11,0,0,0,0,0,0,12658,45440,1462,747,59560,58098,21285,0,deepseek-official,deepseek-flash,high,continuable
010532ac-1274-460b-a461-1b7566bc3f87,f075487c-22fd-44f1-b4d8-b5fe1df11602,3,subagent,Verify German drone episodes,1790328112973,1790328112976,1790328840364,315,50,72,0,0,0,0,5,60,3,0,0,0,0,151994,5684096,29622,11207,5865712,5836090,185695,0,deepseek-official,deepseek-flash,high,continuable
03610d94-497f-4c66-86a1-26dedb722877,500069eb-b528-47b9-8cbf-6873331d1c1c,3,subagent,Compute cost curve research,1790328018860,1790328018865,1790328459749,359,51,93,0,1,1,0,5,79,3,1,0,0,0,121003,4641664,50747,19585,4813414,4762667,173524,0,deepseek-official,deepseek-flash,high,continuable
061dc849-dc73-4073-a541-119ab5377aa9,203408d4-bf52-4104-973b-d706b0c5b4e9,3,subagent,Research amplification and attribution,1790327993756,1790327993762,1790328773416,159,16,49,0,0,0,0,5,44,0,0,0,0,0,63502,697088,10092,3938,770682,760590,78809,0,deepseek-official,deepseek-flash,high,continuable
0995197a-2bd6-40b0-9e9f-95c97303a4b0,78eb7cd5-19e0-4682-857d-67f6cdd17f3e,3,subagent,France drone incidents and law,1790324972343,1790324972346,1790325298952,237,32,59,3,2,1,0,0,48,1,2,0,0,0,41627,1511808,48413,17246,1601848,1553435,91114,0,deepseek-official,deepseek-flash,high,continuable
0bad5fb6-bd2c-4a53-9a01-4b5f2a60311f,78eb7cd5-19e0-4682-857d-67f6cdd17f3e,3,subagent,Sweden Säpo drones research,1790324760249,1790324760258,1790325346949,223,35,50,0,2,1,0,0,41,1,3,0,0,0,70736,1792000,27641,8496,1890377,1862736,100996,0,deepseek-official,deepseek-flash,high,continuable
0c0085ae-9b77-4f1a-a065-50ca523039a1,214d85c6-dbe8-43ae-bb06-96929af0216d,2,subagent,Mexico LatAm cartel drones,1790324624837,1790324624844,1790325438134,429,70,99,0,1,1,2,2,81,2,7,2,0,0,83194,5490304,66112,22352,5639610,5573498,151164,0,deepseek-official,deepseek-flash,high,continuable
0c1ed671-3cc2-4e4b-9068-6dd263c5f1b6,51fc805d-9281-411b-af39-b6f876f81b1d,3,subagent,RAND IO and counter-propaganda,1790328454793,1790328454795,1790329534613,181,24,48,0,1,0,0,1,46,0,0,0,0,0,22579,668544,20390,7869,711513,691123,48346,0,deepseek-official,deepseek-flash,high,continuable
0d16099c-35f0-4538-a480-5c5c15cf5b87,61b1e41b-32e7-4092-aa70-26577f10fb08,3,subagent,Research stream F IRA official,1790328008380,1790328008392,1790328989940,389,57,102,2,1,1,0,2,88,0,3,5,0,0,88013,4872832,59329,18417,5020174,4960845,149553,0,deepseek-official,deepseek-flash,high,continuable
109e924b-6fb2-4a09-822c-b44e4256f317,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,1,subagent,AI-assisted planning and coordination,1790324565175,1790324565189,1790325140240,439,66,97,0,1,1,10,12,71,0,1,0,0,0,108878,5812864,54581,23566,5976323,5921742,165375,0,deepseek-official,deepseek-flash,high,continuable
160bfb86-67c6-40e3-921b-b3686e80f6df,1e0ef8e5-13ab-407d-9611-97e58bc5370f,3,subagent,Moral panic research,1790328130865,1790328130867,1790329106501,184,22,51,0,1,0,0,4,46,0,0,0,0,0,40567,1135872,39451,20864,1215890,1176439,85252,0,deepseek-official,deepseek-flash,high,continuable
16a40545-5872-4714-bcb8-3b7c88271b52,219f73d7-254d-4d3d-962b-879d88a0bc7c,3,subagent,Dual-use supply chain and low-cost end,1790324854107,1790324854111,1790325211424,189,25,50,2,0,0,0,0,47,0,0,0,0,0,39401,852352,15946,2762,907699,891753,61226,0,deepseek-official,deepseek-flash,high,continuable
1788fcf5-a3e3-46db-9345-cdeacf0a4fa5,46b82e74-e114-4473-b55d-e2c13cfef604,2,subagent,Product and food scare strand,1790327967546,1790327967549,1790328604483,353,52,90,0,1,1,0,4,71,5,5,0,0,0,116542,6155008,76522,20891,6348072,6271550,195451,0,deepseek-official,deepseek-flash,high,continuable
17a084cf-9432-43a8-b80b-8919b47feba3,61b1e41b-32e7-4092-aa70-26577f10fb08,3,subagent,Research stream B effects,1790328008379,1790328008392,1790328707570,354,52,92,0,1,1,0,2,83,0,2,3,0,0,69284,3247616,45512,16296,3362412,3316900,117319,0,deepseek-official,deepseek-flash,high,continuable
1b475704-43dc-4507-a2f9-d7efa55e7b9c,203408d4-bf52-4104-973b-d706b0c5b4e9,3,subagent,Research Langley AFB drone incursions,1790327993755,1790327993761,1790328773376,207,28,55,0,0,0,0,2,53,0,0,0,0,0,151490,2928000,22710,13382,3102200,3079490,178484,0,deepseek-official,deepseek-flash,high,continuable
1bf60fa7-70cb-49e0-87a2-17d8a39320a6,8605360c-4c6f-42c8-91a0-b14fdbd777da,3,subagent,Pink slime and economics,1790328014352,1790328014361,1790328598183,400,57,106,3,1,1,0,24,71,1,1,1,0,0,196546,7609600,68698,24990,7874844,7806146,260040,0,deepseek-official,deepseek-flash,high,continuable
1deec50d-0878-4863-bb81-61106e0e28a5,a7eef189-3bc7-404b-9379-01dd00107abc,3,subagent,Part B reporting protocols research,1790328012865,1790328012868,1790328525260,457,65,124,4,1,1,0,4,111,0,1,2,0,0,83858,5038464,64239,14604,5186561,5122322,148586,0,deepseek-official,deepseek-flash,high,continuable
1e0ef8e5-13ab-407d-9611-97e58bc5370f,6f182957-7587-4604-97e9-5b8275f63b51,2,subagent,Research rumour risk amplification theory,1790327976108,1790327976116,1790329138727,494,68,125,3,2,1,0,10,86,1,3,7,0,0,78983,5844480,85309,37562,6008772,5923463,164745,0,deepseek-official,deepseek-flash,high,continuable
1ece4a27-295e-45a1-b4e8-f4a61be5e7a2,edb0f8d3-0c07-4a47-9834-d2bb6ae9a3ac,3,subagent,LLM-driven IO research 2024-26,1790328137748,1790328137750,1790329651017,359,39,114,0,1,1,0,3,107,0,1,1,0,0,90659,2875520,54204,16501,3020383,2966179,149824,0,deepseek-official,deepseek-flash,high,continuable
203408d4-bf52-4104-973b-d706b0c5b4e9,f5d926fb-1c4e-4c16-af8f-c7dce00748fd,2,subagent,US base and UK drone incidents,1790327968255,1790327968258,1790328808662,539,77,137,4,1,0,0,2,114,5,0,0,0,0,198517,13269632,75184,17592,13543333,13468149,270888,0,deepseek-official,deepseek-flash,high,continuable
214d85c6-dbe8-43ae-bb06-96929af0216d,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,1,subagent,Criminal terrorist misuse evidence,1790324565173,1790324565187,1790325484400,819,128,160,9,5,3,9,15,76,13,2,19,0,0,173482,19256832,78633,10906,19508947,19430314,246351,0,deepseek-official,deepseek-flash,high,continuable
219f73d7-254d-4d3d-962b-879d88a0bc7c,99dae34e-50a3-42d8-b818-f7eda5a3f4f6,2,subagent,Loitering munitions market costs,1790324768421,1790324768425,1790325253036,365,57,86,2,1,1,0,3,65,1,2,4,0,0,76959,4701312,46672,16642,4824943,4778271,123086,0,deepseek-official,deepseek-flash,high,continuable
230a12e6-6703-4fa1-97a8-d3265be4edb1,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,1,subagent,Swarm coordination evidence audit,1790324565172,1790324565187,1790324873790,345,46,81,0,1,1,13,46,19,0,1,0,0,0,211971,4810624,33535,15179,5056130,5022595,249864,0,deepseek-official,deepseek-flash,high,continuable
279d0ac8-42e7-4ca8-8ac6-58f028f6451c,c226e74e-90e4-4e33-b349-0decbf893847,3,subagent,Colombia pipeline and policy evidence,1790324709751,1790324709753,1790325087243,267,39,59,0,2,1,1,0,50,0,4,0,0,0,94305,3036288,66790,13327,3197383,3130593,165393,0,deepseek-official,deepseek-flash,high,continuable
