session,depth,turn,step,inputTokens,cacheReadTokens,outputTokens,reasoningTokens,totalTokens,logicalContext,freshInput,reasoningChars,outputChars,nToolCalls
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,1,9371,1280,674,473,11325,10651,9371,2213,107,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,2,169,11264,4989,4636,16422,11433,169,17667,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,3,230,16256,6360,381,22846,16486,230,1524,150,8
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,4,2404,20736,372,192,23512,23140,2404,757,117,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,5,1225,23424,328,118,24977,24649,1225,487,0,3
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,6,209,24960,326,106,25495,25169,209,416,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,7,295,25472,220,50,25987,25767,295,202,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,8,167,25856,237,45,26260,26023,167,195,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,9,1119,26240,439,215,27798,27359,1119,848,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,10,193,27776,575,243,28544,27969,193,968,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,11,452,28544,403,113,29399,28996,452,430,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,12,1079,29312,944,398,31335,30391,1079,1753,0,3
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,13,3422,31232,2412,925,37066,34654,3422,3858,208,5
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,14,1506,36992,1736,298,40234,38498,1506,1208,159,5
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,15,632,40192,625,237,41449,40824,632,961,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,16,239,41344,607,53,42190,41583,239,216,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,17,230,41984,240,17,42454,42214,230,82,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,18,767,42368,999,281,44134,43135,767,1039,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,19,1778,44032,664,217,46474,45810,1778,778,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,20,154,46336,300,180,46790,46490,154,769,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,21,2390,46720,1398,1010,50508,49110,2390,3666,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,22,361,50432,769,358,51562,50793,361,1388,77,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,23,559,51456,956,317,52971,52015,559,1289,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,24,170,52864,113,0,53147,53034,170,0,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,25,4599,53120,980,762,58699,57719,4599,3216,86,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,26,5666,58624,1181,766,65471,64290,5666,2824,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,27,3723,65408,1370,936,70501,69131,3723,3688,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,28,202,70400,497,165,71099,70602,202,689,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,29,4993,71040,836,532,76869,76033,4993,2157,117,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,30,6896,76800,1108,766,84804,83696,6896,2969,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,31,4938,84736,433,328,90107,89674,4938,1331,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,32,8771,89984,1481,872,100236,98755,8771,3445,106,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,33,698,100224,891,235,101813,100922,698,854,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,34,6235,101760,1089,704,109084,107995,6235,2494,68,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,35,4662,109056,531,353,114249,113718,4662,1308,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,36,5994,114176,1015,763,121185,120170,5994,3426,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,37,2767,121088,1105,745,124960,123855,2767,3299,149,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,38,3733,124928,902,538,129563,128661,3733,2341,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,39,876,129536,247,59,130659,130412,876,254,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,40,208,130560,94,0,130862,130768,208,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,41,5004,130816,1412,1108,137232,135820,5004,4811,91,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,42,171,137088,1266,1122,138525,137259,171,4749,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,43,5842,138496,671,315,145009,144338,5842,1394,79,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,44,2380,144896,366,220,147642,147276,2380,796,53,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,45,7856,147584,5856,1604,161296,155440,7856,6363,97,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,46,1391,161280,8055,793,170726,162671,1391,3193,88,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,47,4407,170624,8301,1568,183332,175031,4407,6582,80,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,48,848,182528,1651,187,185027,183376,848,717,100,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,49,239,184832,238,111,185309,185071,239,394,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,50,1433,185216,433,265,187082,186649,1433,1047,63,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,51,996,187008,353,175,188357,188004,996,563,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,52,10023,188288,4230,1348,202541,198311,10023,5143,63,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,53,2272,202496,886,768,205654,204768,2272,2819,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,54,550,205568,1534,703,207652,206118,550,2769,31,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,55,208,207488,297,94,207993,207696,208,363,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,56,165,207872,818,285,208855,208037,165,1030,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,57,6608,208768,1035,481,216411,215376,6608,2145,43,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,58,135,216320,795,342,217250,216455,135,1586,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,59,206,217088,509,155,217803,217294,206,735,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,60,247,217600,184,60,218031,217847,247,243,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,61,961,217984,1186,771,220131,218945,961,3371,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,62,143,220032,895,402,221070,220175,143,1854,86,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,63,215,220928,327,60,221470,221143,215,278,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,64,8441,221440,7586,400,237467,229881,8441,1806,86,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,65,1998,235520,127,27,237645,237518,1998,119,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,66,486,237568,335,135,238389,238054,486,490,67,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,67,502,238336,158,67,238996,238838,502,199,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,68,6406,238976,3041,2016,248423,245382,6406,7873,112,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,69,147,248320,2018,464,250485,248467,147,2148,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,70,161,250368,830,208,251359,250529,161,939,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,71,139,251264,653,284,252056,251403,139,1101,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,72,196,251904,485,0,252585,252100,196,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,73,213,252416,207,106,252836,252629,213,442,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,74,468,252800,187,73,253455,253268,468,274,76,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,75,1981,253440,1343,1151,256764,255421,1981,4222,90,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,76,3008,256640,2272,756,261920,259648,3008,3108,72,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,77,2827,261888,1966,789,266681,264715,2827,3092,80,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,78,1323,266624,448,192,268395,267947,1323,736,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,79,151,268288,640,233,269079,268439,151,1051,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,80,195,268928,543,0,269666,269123,195,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,81,142,269568,243,55,269953,269710,142,263,33,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,82,696,269952,348,168,270996,270648,696,697,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,83,1299,270976,505,193,272780,272275,1299,833,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,84,184,272640,1263,676,274087,272824,184,2814,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,85,779,274048,515,175,275342,274827,779,703,139,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,86,186,275200,464,0,275850,275386,186,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,1,87,246,275712,881,80,276839,275958,246,366,3684,0
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,2,1,927,276736,2212,1079,279875,277663,927,4044,74,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,2,2,239,279680,491,0,280410,279919,239,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,2,3,134,280320,217,91,280671,280454,134,390,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,2,4,429,280576,469,106,281474,281005,429,428,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,2,5,167,281344,314,135,281825,281511,167,672,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,2,6,259,281600,575,0,282434,281859,259,0,2439,0
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,3,1,1283,282368,1042,675,284693,283651,1283,2598,63,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,3,2,186,284544,781,0,285511,284730,186,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,3,3,243,285312,551,235,286106,285555,243,1079,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,3,4,198,285952,168,31,286318,286150,198,144,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,3,5,608,286208,220,57,287036,286816,608,238,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,3,6,222,286848,542,0,287612,287070,222,0,2462,0
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,4,1,1168,287488,1284,834,289940,288656,1168,3229,57,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,4,2,192,289792,628,0,290612,289984,192,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,4,3,224,290432,308,81,290964,290656,224,381,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,4,4,192,290816,165,26,291173,291008,192,84,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,4,5,433,291072,282,136,291787,291505,433,606,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,4,6,237,291584,639,0,292460,291821,237,0,3010,0
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,5,1,774,292352,198,163,293324,293126,774,775,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,5,2,368,293248,496,382,294112,293616,368,1693,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,5,3,259,294016,180,89,294455,294275,259,340,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,5,4,2012,294400,1515,855,297927,296412,2012,3421,58,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,5,5,243,297728,429,0,298400,297971,243,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,5,6,1408,298368,2039,1005,301815,299776,1408,4336,127,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,5,7,2362,301696,1681,1285,305739,304058,2362,4990,66,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,5,8,922,305664,1407,723,307993,306586,922,2789,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,5,9,197,307840,563,0,308600,308037,197,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,5,10,164,308480,547,208,309191,308644,164,860,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,5,11,243,308992,179,40,309414,309235,243,201,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,5,12,226,309248,174,0,309648,309474,226,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,5,13,178,309504,599,0,310281,309682,178,0,2865,0
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,6,1,155,310144,815,522,311114,310299,155,2208,50,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,6,2,410,311040,695,417,312145,311450,410,1686,264,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,6,3,240,311936,539,256,312715,312176,240,960,100,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,6,4,273,312704,1000,796,313977,312977,273,2810,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,6,5,1475,313856,627,446,315958,315331,1475,1635,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,6,6,246,315776,1685,698,317707,316022,246,2694,45,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,6,7,172,317568,266,38,318006,317740,172,151,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,6,8,374,317952,303,163,318629,318326,374,561,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,6,9,151,318592,503,193,319246,318743,151,730,60,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,6,10,209,319104,152,0,319465,319313,209,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,6,11,171,319360,297,83,319828,319531,171,331,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,6,12,235,319744,332,83,320311,319979,235,348,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,6,13,268,320256,496,0,321020,320524,268,0,1843,0
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,1,820,320896,2927,2602,324643,321716,820,11877,86,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,2,215,324608,287,138,325110,324823,215,611,132,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,3,1098,324992,7377,397,333467,326090,1098,1656,79,8
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,4,322,333440,391,227,334153,333762,322,1012,85,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,5,5726,334080,1291,865,341097,339806,5726,3498,82,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,6,178,340992,493,370,341663,341170,178,1572,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,7,1276,341632,191,69,343099,342908,1276,261,89,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,8,220,342912,250,19,343382,343132,220,63,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,9,498,343296,282,119,344076,343794,498,417,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,10,371,344064,665,261,345100,344435,371,931,92,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,11,1241,345088,613,311,346942,346329,1241,1287,139,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,12,45475,346880,311,199,392666,392355,45475,839,76,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,13,225,392576,273,105,393074,392801,225,371,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,14,329,392960,304,131,393593,393289,329,542,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,15,750,393472,357,202,394579,394222,750,993,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,16,552,394496,425,207,395473,395048,552,1051,80,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,17,849,395392,506,372,396747,396241,849,1808,60,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,18,650,396672,998,703,398320,397322,650,2871,74,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,19,140,398208,5948,0,404296,398348,140,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,20,260,404096,142,51,404498,404356,260,232,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,21,163,404352,623,497,405138,404515,163,1813,75,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,22,457,405120,3449,1084,409026,405577,457,4542,88,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,23,240,408832,168,60,409240,409072,240,269,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,24,184,409088,130,41,409402,409272,184,152,47,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,25,2315,409344,475,342,412134,411659,2315,1577,76,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,26,140,412032,94,0,412266,412172,140,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,27,906,412160,1123,358,414189,413066,906,1651,68,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,28,155,414080,1068,139,415303,414235,155,597,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,29,245,415104,1059,77,416408,415349,245,313,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,30,198,416256,421,40,416875,416454,198,143,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,31,153,416768,91,0,417012,416921,153,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,32,141,416896,1928,436,418965,417037,141,1950,57,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,33,195,418816,272,155,419283,419011,195,589,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,34,259,419072,420,252,419751,419331,259,1135,104,1
