session,depth,label,totalTokens,artefactsWritten,artefactsInheritedByOthers,totalInheritedReads,topArtefact
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,130220004,5,2,63,amplification/Agentic-Threat-Amplification-2026.md
f54b15a3-b0aa-4d8a-961f-1cd6fa0548d6,1,Agentic AI capability evidence,22056925,1,1,54,amplification/findings/04-agentic-capability.md
b61859d5-9abc-4cc9-8ea7-06c15e81ef05,1,Computational propaganda evidence,32700112,2,1,37,amplification/findings/03-computational-propaganda.md
46b82e74-e114-4473-b55d-e2c13cfef604,1,Health and military scare cases,39337578,11,3,36,amplification/sources/raw-adversary.md
e8b3050c-765a-4f10-9bae-9fcc012336ae,2,Detection and takedown evidence,9706975,3,2,24,sources/anthropic-ti-sep2026.txt
ca75c80e-2ca5-4d1c-afd7-9ad9309b35cf,2,Hybrid state activity NATO,27074389,1,1,15,research/08-hybrid-nato.md
4b196287-db27-4f90-9ecc-72e329e450d8,2,State-adversary scare operations strand,17685840,3,2,12,amplification/notes/stream-e-infra.md
8bc9d075-fab0-400a-9e01-b232d368ee02,3,Radiological chemical scares research,9404507,1,1,12,amplification/notes/stream-d-radchem.md
b0f0ef6b-188b-48bb-a9b0-a808aa6a8393,1,Counterexamples and resilience limits,5472382,1,1,12,amplification/findings/07-counterexamples.md
61b1e41b-32e7-4092-aa70-26577f10fb08,2,Effectiveness evidence,10293012,3,2,11,amplification/notes/stream-e-ai-reach.md
b1c47186-e044-4c6c-9148-2f6913193f95,2,Public health scares strand,17857410,2,2,10,amplification/sources/raw-publichealth.md
500069eb-b528-47b9-8cbf-6873331d1c1c,2,Cost and access economics research,16493684,1,1,9,amplification/notes/cost-access.md
ac2e73e0-e9f1-433d-94ae-6e2ff77072d7,2,Airport drone disruption,6785524,1,1,8,research/06-airports-infrastructure.md
69945366-9aea-4a07-a7fb-3ae889133eb7,3,Critical infrastructure drone incursions,5290782,1,1,7,research/_infrastructure.md
78eb7cd5-19e0-4682-857d-67f6cdd17f3e,2,France Nordics Belgium drone assessments,7570634,1,1,7,research/METHODS.md
c2e2b954-63bb-4c00-8d45-37e953901183,1,NATO EU institutional threat assessments,19983037,6,3,7,research/eu_nato.md
1788fcf5-a3e3-46db-9345-cdeacf0a4fa5,2,Product and food scare strand,6348072,2,2,6,amplification/sources/raw-product-env.md
6f182957-7587-4604-97e9-5b8275f63b51,1,Concept genealogy and fit,34765272,1,1,6,amplification/findings/01-concepts.md
a87a9e47-2c5c-469b-920f-e10080392655,3,German airport drone closures,9795462,1,1,6,research/_germany.md
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,GNSS-denied nav and edge AI access,4606042,2,2,5,findings/generic_enablers_brief.md
dabeb4b9-b19b-4707-bb52-c02368aacf3c,3,AI platform threat reports,11493323,14,2,5,amplification/notes/_sub-network-threat-reports.md
5c68d179-2392-4852-896c-1a4933d59ebf,3,Belgium OCAM drones research,2208004,1,1,4,research/belgium.md
77ee89e8-327b-4e3a-a160-c2ca700953df,2,"Prebunking, reflexivity, indicators research",13459529,5,2,4,amplification/research/parts/METHOD-BRIEF.md
7b92362e-8682-4b98-afdf-b980936427fc,3,Topic 3 fact-check evasion,5158136,1,1,4,amplification/notes/raw-topic3.md
7c73d0c4-2fbe-48b3-b02e-f5d48bf540df,3,mpox clade Ib research notes,8016395,1,1,4,amplification/notes/case-b-mpox.md
f55f1385-9dbe-48d0-bdb9-b173663b724d,3,Denmark PET drones research,2940200,1,1,4,research/denmark.md
109e924b-6fb2-4a09-822c-b44e4256f317,1,AI-assisted planning and coordination,5976323,1,1,2,ai-planning-uplift-brief.md
56542a81-0524-4af5-acd1-92a7cbbf9c8b,1,Risk psychology and sociology,5588052,1,1,2,amplification/findings/02-risk-psychology.md
74e3962c-673c-4068-90c4-60d02d23773c,3,Part C indicators and warnings research,7611719,5,1,2,amplification/research/parts/part-C-iw.md
80582e1e-cc24-4c49-bd41-86060a72245a,3,Topic 4 newsjacking research,2416124,1,1,2,amplification/notes/raw-topic4.md
8605360c-4c6f-42c8-91a0-b14fdbd777da,2,Deepfake and synthetic corroboration research,18482761,3,1,2,amplification/notes/synthetic-corroboration.md
