branchSession,label,createdAt,branchStart,branchEnd,wallclockMin,nSessions,nSessionsDepth1,nDescendants,maxSubDepth,nSteps,nToolCalls,nWebFetch,nBash,totalTokens,cacheReadTokens,inputTokens,outputTokens,maxCtx,nPresents,maxBranchFactor
b61859d5-9abc-4cc9-8ea7-06c15e81ef05,Computational propaganda evidence,1790327928259,1790327928271,1790329397245,24.48,22,1,21,3,1453,2435,67,1897,184328390,180231936,2845894,1250560,368968,20,6
dc0b75f5-7e62-49c9-a810-8793a1c7648f,Defensive practice and non-amplification,1790327928261,1790327928272,1790329670236,29.03,19,1,18,3,1462,2352,152,1897,156134990,152582656,2185356,1366978,270676,20,6
f54b15a3-b0aa-4d8a-961f-1cd6fa0548d6,Agentic AI capability evidence,1790327928260,1790327928272,1790329138903,20.18,20,1,19,3,1233,2027,87,1538,144477711,140865536,2439632,1172543,282485,19,5
6f182957-7587-4604-97e9-5b8275f63b51,Concept genealogy and fit,1790327928258,1790327928271,1790330195165,37.78,20,1,19,3,1288,2115,121,1659,136376674,133333888,1796812,1245974,270878,20,6
46b82e74-e114-4473-b55d-e2c13cfef604,Health and military scare cases,1790327928260,1790327928270,1790329340507,23.54,11,1,10,3,946,1514,80,1178,136363129,133949056,1491061,923012,372547,13,4
214d85c6-dbe8-43ae-bb06-96929af0216d,Criminal terrorist misuse evidence,1790324565173,1790324565187,1790325484400,15.32,17,1,16,3,977,1535,313,808,129969128,126426752,2624741,917635,388253,16,9
f5d926fb-1c4e-4c16-af8f-c7dce00748fd,Drone sighting ambiguity cases,1790327928260,1790327928270,1790329203915,21.26,11,1,10,3,655,1101,58,903,104769972,102409728,1756017,604227,353492,6,4
c2e2b954-63bb-4c00-8d45-37e953901183,NATO EU institutional threat assessments,1790324565173,1790324565188,1790325507948,15.71,13,1,12,3,797,1213,31,952,68922165,67039360,1081451,801354,257992,16,5
99dae34e-50a3-42d8-b818-f7eda5a3f4f6,Middle East conflict autonomy evidence,1790324565171,1790324565185,1790325520098,15.92,12,1,11,3,537,898,265,461,57545676,55806720,1311548,427408,270893,6,6
9ab7a0c1-d19a-45d5-b511-696d1d884a19,Ukraine Russia autonomy evidence,1790324565171,1790324565184,1790324988868,7.06,1,1,0,1,62,82,16,45,5985954,5820160,129443,36351,168936,1,0
109e924b-6fb2-4a09-822c-b44e4256f317,AI-assisted planning and coordination,1790324565175,1790324565189,1790325140240,9.58,1,1,0,1,66,97,12,71,5976323,5812864,108878,54581,165375,1,0
56542a81-0524-4af5-acd1-92a7cbbf9c8b,Risk psychology and sociology,1790327928259,1790327928272,1790328476974,9.15,1,1,0,1,46,78,11,38,5588052,5415296,118174,54582,172728,1,0
b0f0ef6b-188b-48bb-a9b0-a808aa6a8393,Counterexamples and resilience limits,1790327928261,1790327928271,1790328429797,8.36,1,1,0,1,48,107,14,55,5472382,5310592,94086,67704,164335,1,0
230a12e6-6703-4fa1-97a8-d3265be4edb1,Swarm coordination evidence audit,1790324565172,1790324565187,1790324873790,5.14,1,1,0,1,46,81,46,19,5056130,4810624,211971,33535,249864,1,0
e49930ac-674f-41f7-8ead-2c84161d693d,Counter-UAS defender economics,1790324565174,1790324565189,1790324829033,4.4,1,1,0,1,40,90,47,17,4738632,4538496,165898,34238,204720,1,0
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,GNSS-denied nav and edge AI access,1790324565172,1790324565186,1790324824192,4.32,1,1,0,1,43,79,35,22,4606042,4451584,122314,32144,157057,1,0
