decile,pctOfWork,nActs,nTargetActs,nQueryActs,newUrls,newHosts,newQueries,cumUrls,cumHosts,cumQueries,sessionsActive,meanDepth,tStart,tEnd
1,10%,1692,1282,410,1159,306,182,1159,306,182,36,1.65,1790324566961,1790324736185
2,20%,1693,1449,244,1175,217,164,2334,523,346,43,2.34,1790324736185,1790324905809
3,30%,1693,1251,442,970,169,368,3304,692,714,103,2.28,1790324905809,1790328018626
4,40%,1692,1288,404,983,189,372,4287,881,1086,83,2.57,1790328018626,1790328079420
5,50%,1693,1331,362,954,136,327,5241,1017,1413,93,2.53,1790328079420,1790328164334
6,60%,1693,1367,326,938,138,251,6179,1155,1664,92,2.59,1790328164334,1790328251964
7,70%,1692,1428,264,955,160,222,7134,1315,1886,95,2.64,1790328251964,1790328356521
8,80%,1693,1438,255,978,110,183,8112,1425,2069,86,2.69,1790328356521,1790328494977
9,90%,1693,1463,230,893,119,176,9005,1544,2245,66,2.6,1790328494977,1790328707293
10,100%,1693,1475,218,703,104,177,9708,1648,2422,52,2.3,1790328707293,1790330133131
