decile,pctOfWork,stepFrom,stepTo,nSteps,nTargetActs,nQueryActs,newUrls,newHosts,newQueries,cumUrls,cumHosts,cumQueries,sessionsActive,meanDepth,tStart,tEnd
1,10%,0,1003,1003,1925,503,1695,428,249,1695,428,249,45,1.82,1790324497630,1790324799499
2,20%,1003,2007,1004,1328,237,1063,145,138,2758,573,387,36,2.45,1790324799634,1790325036438
3,30%,2007,3011,1004,534,255,389,95,233,3147,668,620,69,2.06,1790325036782,1790328008383
4,40%,3011,4014,1003,1885,633,1422,244,577,4569,912,1197,84,2.55,1790328008405,1790328100805
5,50%,4014,5018,1004,1945,474,1355,210,400,5924,1122,1597,95,2.54,1790328100853,1790328232682
6,60%,5018,6022,1004,1824,363,1243,199,298,7167,1321,1895,96,2.65,1790328232714,1790328361674
7,70%,6022,7025,1003,1435,249,977,107,179,8144,1428,2074,86,2.7,1790328361742,1790328498458
8,80%,7025,8029,1004,1204,201,781,106,152,8925,1534,2226,64,2.64,1790328498599,1790328670399
9,90%,8029,9033,1004,859,140,445,48,105,9370,1582,2331,51,2.47,1790328670840,1790329006150
10,100%,9033,10037,1004,830,99,336,66,90,9706,1648,2421,23,2.13,1790329006210,1790330236597
