decile,pctOfWork,nActs,nRetrievals,nSessionsStarted,nSessionsEnded,distinctSessionsActive,newStructuredUrls,newHosts,cumStructuredUrls,tStart,tEnd
1,10%,852,815,36,1,34,149,121,149,1790324469536,1790324711170
2,20%,852,832,11,9,46,0,0,149,1790324711171,1790324878696
3,30%,852,767,48,37,82,0,0,149,1790324878919,1790328000640
4,40%,853,814,39,0,82,0,0,149,1790328000749,1790328053633
5,50%,852,843,9,0,91,0,0,149,1790328053649,1790328137448
6,60%,852,848,3,1,93,0,0,149,1790328137666,1790328226033
7,70%,853,849,3,1,94,0,0,149,1790328226093,1790328325850
8,80%,852,841,2,9,94,0,0,149,1790328325947,1790328464019
9,90%,852,821,0,31,77,0,0,149,1790328464040,1790328666939
10,100%,853,787,2,64,58,0,0,149,1790328667065,1790330236600
