session,depth,label,sentN,sentChars,sentReports,sentUrls,recvN,recvChars,recvReports
c2e2b954-63bb-4c00-8d45-37e953901183,1,NATO EU institutional threat assessments,5,45783,5,58,6,63288,4
8a55607d-c2f7-40a7-8d99-f0d1e5c44581,2,European retractions and influence ops,4,43568,2,31,2,15650,2
203408d4-bf52-4104-973b-d706b0c5b4e9,2,US base and UK drone incidents,2,29516,2,54,5,38575,2
bc7323c8-aee3-4194-a341-b6c18b1b0475,2,Monitoring and localisation research,7,29246,2,11,6,21945,4
c0fd3b9e-4ce0-4a6e-837d-b7459d0efeb1,3,FRONTEX Eurojust Europol research,3,28611,2,103,0,0,0
77ee89e8-327b-4e3a-a160-c2ca700953df,2,"Prebunking, reflexivity, indicators research",7,27973,3,14,7,25020,4
500069eb-b528-47b9-8cbf-6873331d1c1c,2,Cost and access economics research,9,27613,6,17,10,30730,6
98b0ee43-1076-4c8e-8f8a-9512a5c4cdac,2,UK Germany drone threat assessments,2,27382,1,44,2,18359,1
cc1fd076-ce12-4f21-9a03-de36e199d4ef,2,EU bodies and NATO drone evidence,2,26731,2,0,7,57098,4
31ca772b-cb14-42f3-b07d-64354d9cda59,2,Personas and influence-for-hire,5,24991,4,2,13,52905,10
6f182957-7587-4604-97e9-5b8275f63b51,1,Concept genealogy and fit,6,24912,6,2,14,70508,13
51f796a3-f550-4344-be44-eba389ff8b73,3,Research UK MoD drone incidents,2,24597,2,39,0,0,0
aa3fc864-9f3a-48a6-886d-b7860bff5228,3,Trace German drone amplification,2,24527,1,5,0,0,0
a1c59a96-24c6-4c8a-8958-0ca6b7c17078,2,Research Houthi drones and USVs,2,22585,2,75,0,0,0
8605360c-4c6f-42c8-91a0-b14fdbd777da,2,Deepfake and synthetic corroboration research,6,22237,5,4,11,39555,9
8751d743-58c1-4ab8-b071-69ef3942b863,3,Drone recon over bases,2,22137,1,43,0,0,0
46b82e74-e114-4473-b55d-e2c13cfef604,1,Health and military scare cases,6,21477,5,0,7,25983,6
dfc6a190-85d7-4f6a-a2d3-52df9a1a18eb,2,Research Iran Shahed proliferation,4,21409,2,60,5,19928,2
3795a316-6973-4223-bd76-0c6937d676ee,2,Research Hamas/Hezbollah armed drones,2,20239,2,48,0,0,0
b61859d5-9abc-4cc9-8ea7-06c15e81ef05,1,Computational propaganda evidence,6,19896,6,1,13,60130,10
ac188085-eef8-4b4d-82d2-e1555f17ba4a,2,Incident verification and triage research,8,19536,3,19,8,33974,6
91004cb5-9eb3-4dce-a088-e6396350299a,2,Research non-state drone proliferation,2,18564,2,26,0,0,0
8e5bc453-00b8-4d6d-8809-d06846ad9c63,3,German drone threat primary sources,2,18359,1,29,0,0,0
0c1ed671-3cc2-4e4b-9068-6dd263c5f1b6,3,RAND IO and counter-propaganda,2,18207,2,28,0,0,0
78eb7cd5-19e0-4682-857d-67f6cdd17f3e,2,France Nordics Belgium drone assessments,6,17243,2,13,5,21179,2
f075487c-22fd-44f1-b4d8-b5fe1df11602,2,German drone incidents amplification,4,17242,2,7,3,24884,2
214d85c6-dbe8-43ae-bb06-96929af0216d,1,Criminal terrorist misuse evidence,6,17229,2,0,20,50170,15
230a12e6-6703-4fa1-97a8-d3265be4edb1,1,Swarm coordination evidence audit,2,16726,2,19,1,540,0
00b48589-437f-4e6d-9dea-4db4e0da97f3,3,Undersea infrastructure incidents,2,16506,1,23,0,0,0
219f73d7-254d-4d3d-962b-879d88a0bc7c,2,Loitering munitions market costs,2,16371,2,23,2,3437,0
aecad63f-f9ac-4428-ba51-fa4643681903,3,NATO DIANA NIF NSPA procurement,2,15879,0,37,0,0,0
f38af81e-dc28-419d-ba96-1e5e64b5619c,3,Influence-op drone amplification,2,15650,2,16,1,492,0
a4a04330-c73f-4cd8-a92e-9837ccb861ba,2,Search for self-amplifying attack concept,3,14572,2,1,8,23152,5
cc07f9d4-0390-4bb3-90b1-866e31d30b66,2,Persona and coordination research,4,14064,2,2,4,14018,3
e289f909-7350-45de-8d96-c53ca34ad0e9,3,"Spain, EU airports, drone wall",2,13516,1,0,0,0,0
1deec50d-0878-4863-bb81-61106e0e28a5,3,Part B reporting protocols research,2,13456,2,17,0,0,0
99dae34e-50a3-42d8-b818-f7eda5a3f4f6,1,Middle East conflict autonomy evidence,3,13408,3,0,13,100790,11
51fc805d-9281-411b-af39-b6f876f81b1d,2,Research perception mgmt and info ops,3,12946,3,19,3,22287,2
f54b15a3-b0aa-4d8a-961f-1cd6fa0548d6,1,Agentic AI capability evidence,6,12749,6,8,11,62863,7
5fb605f1-c023-4869-ba9a-7d3e11e1fcd7,3,EASA EUROCONTROL INTCEN research,2,12608,2,27,0,0,0
1e0ef8e5-13ab-407d-9611-97e58bc5370f,2,Research rumour risk amplification theory,3,12459,2,15,6,31935,6
e465e26f-14d4-4ebd-8832-5e216849629a,2,Synthetic corroboration detection research,2,12429,1,26,0,0,0
bd42af51-5254-4fed-9c58-31009c05088d,3,SARF critiques + adversarial amplification,2,12167,2,34,0,0,0
edb0f8d3-0c07-4a47-9834-d2bb6ae9a3ac,2,Research computational propaganda CIB,5,12055,5,4,8,23052,5
a7eef189-3bc7-404b-9379-01dd00107abc,2,Non-amplification and reporting protocols,2,11826,2,15,4,22353,4
160bfb86-67c6-40e3-921b-b3686e80f6df,3,Moral panic research,2,11797,2,12,1,393,0
414abba5-9455-4df0-b917-95ea002ee90b,2,Research active measures hybrid warfare,2,11697,2,14,0,0,0
66e40dd4-27e6-4a85-83e8-edb605b0b1d9,2,Crisis risk communication research,2,11608,1,20,6,28756,5
eb8d439f-0c62-46e9-b56b-166d47739816,3,Mental models risk communication,2,11529,2,7,0,0,0
42c75fd5-9805-461d-bb22-827fd626fba5,3,Topic 2 adaptive narrative research,2,11514,2,4,1,2665,0
109e924b-6fb2-4a09-822c-b44e4256f317,1,AI-assisted planning and coordination,2,11440,2,0,2,1456,1
f5d926fb-1c4e-4c16-af8f-c7dce00748fd,1,Drone sighting ambiguity cases,2,11180,2,0,8,89051,5
defd571a-2f0d-47a2-8239-28e4b4bccd9e,2,Storm-1516 and Russian networks,3,10892,2,4,4,17126,3
f51e95e9-cb4e-4789-88f1-e8f8db604767,3,Drone exports and smuggling,2,10777,1,20,1,684,0
52f269b0-843f-4c9a-9902-198968ecd5f5,3,National CT unknown-cause guidance,2,10589,2,5,0,0,0
4b196287-db27-4f90-9ecc-72e329e450d8,2,State-adversary scare operations strand,3,10485,2,0,6,18180,3
c226e74e-90e4-4e33-b349-0decbf893847,2,Colombia Ecuador drones,4,10112,4,0,5,16644,2
fd99d7af-8074-4047-8e7d-4e2aa26856b5,3,Influence-for-hire troll farms,2,9939,1,0,0,0,0
61b1e41b-32e7-4092-aa70-26577f10fb08,2,Effectiveness evidence,2,9879,2,0,10,25232,5
ed3f5438-bc1e-4e73-a3eb-c39a1a6720c4,2,Attribution discipline research,2,9799,2,16,0,0,0
f73d55cf-1c48-412b-9e84-8cd33f0e1045,2,AI lab and platform threat reports,2,9567,1,0,0,0,0
d66ce668-ccde-4227-ba1d-cc1b1a1ffabb,3,AI news sites pink slime,2,9491,1,0,0,0,0
7b92362e-8682-4b98-afdf-b980936427fc,3,Topic 3 fact-check evasion,2,9481,2,0,0,0,0
5ae391ef-e246-4ce4-a2a8-90ded6cc0940,3,US NJ drone wave verification,2,9460,2,10,1,707,0
dc0b75f5-7e62-49c9-a810-8793a1c7648f,1,Defensive practice and non-amplification,2,9446,2,0,14,75726,11
fc1be9de-04ba-4111-abe0-c4c21b4b864c,3,Detection and belief studies,2,9403,2,0,0,0,0
