decile,pctWork,tStart,tEnd,steps,outputTokens,reasoningTokens,freshInput,totalTokens,targetActs,queryActs,newHosts,newUrls,newSubstantiveFacts,newArtefacts,negMarkers,corrMarkers,openMarkers,confMarkers,outTokPerNewHost,outTokPerNewFact
1,10%,08:21:37,08:26:39,1004,645297,257089,3912463,66512064,1937,507,420,1221,36,51,17,25,0,10,1536.4,17924.9
2,20%,08:26:39,08:30:36,1004,940069,298225,1462250,118499471,1328,237,145,1005,63,69,87,146,15,53,6483.2,14921.7
3,30%,08:30:36,09:20:08,1004,1126393,273879,1613892,137546941,533,255,95,367,57,28,167,332,2,87,11856.8,19761.3
4,40%,09:20:08,09:21:40,1003,662032,240872,3141709,53040605,1884,631,244,1346,69,23,41,87,2,10,2713.2,9594.7
5,50%,09:21:40,09:23:52,1004,745431,300406,2344134,85928349,1945,472,210,1242,116,17,40,107,3,29,3549.7,6426.1
6,60%,09:23:52,09:26:01,1004,892133,318737,1940487,113481964,1819,363,199,1161,128,45,139,176,6,55,4483.1,6969.8
7,70%,09:26:01,09:28:18,1003,941380,301152,1479986,138884598,1436,249,107,913,167,32,119,284,10,77,8797.9,5637.0
8,80%,09:28:18,09:31:10,1004,1075144,296000,1161241,167958881,1201,202,106,748,142,44,205,277,21,123,10142.9,7571.4
9,90%,09:31:11,09:36:46,1004,1180154,297765,837370,195651316,859,140,48,433,150,43,280,402,25,192,24586.5,7867.7
10,100%,09:36:46,09:57:16,1003,1100824,290759,941125,209027165,830,99,66,331,159,38,234,500,14,212,16679.2,6923.4
