time,session,depth,label,turn,nFiles,paths,descriptions
1790325188682,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,1,8,AI-Autonomy-Threat-Assessment-2026.md|sources-bibliography.md|russia-ukraine-drone-autonomy-brief.md|ai-targeting-loitering-munitions-brief.md|findings/generic_enablers_brief.md|swarm-audit-brief.md|criminal-misuse-brief.md|drone-ai-threat-brief.md,"Main report (~18,000 words): four-level framework; five shifts 2023–2026; established evidence; emerging signals; speculative pathways; threat landscape with tripwire indicators; counterarguments; NATO/EU and Dutch implications; conclusions; three appendices. || Consolidated categorised source register with URLs, evidence grades and confidence, plus an explicitly flagged weak-evidence section and a research-gaps list. || Supporting brief: Ukraine/Russia FPV autonomy, terminal guidance, fibre-optic, UGVs/USVs, Spiderweb, diffusion. || Supporting brief: Gaza AI targeting, Hezbollah/Houthi/Hamas drones, Kargu-2 deconstruction, loitering-munition market. || Supporting brief: GNSS-denied navigation, edge-AI cost curve, open-source stacks, datasets, integration barriers. || Supporting brief: sceptical audit of swarm claims — OFFSET, Replicator/DAWG, Swarm Forge, Camp Blanding, Dstl, China Atlas, light shows. || Supporting brief: documented criminal, terrorist and state-proxy misuse; Latin America statistics; prison contraband; assassination record; the central negative finding on autonomy. || Supporting brief: institutional evidence base — Europol, Commission, EPRS, NATO, UK, Germany, Netherlands — plus the debunking material."
1790325238368,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,2,2,AI-Autonomy-Threat-Assessment-2026.md|sources-bibliography.md,"Main report (~18,000 words), now updated with the corrected Colombian military-intelligence drone-attack series (690 attacks since July 2023; 277 in 2025; 292 in Jan–Sep 2026; 31 killed), the incidents-vs-attacks distinction, and the stalled Colombian counter-drone programme. || Consolidated source register, now citing the Colombian military intelligence / El Tiempo series, ACLED event data, and the Contraloría findings as primary Latin American sources."
1790325283706,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,3,2,AI-Autonomy-Threat-Assessment-2026.md|sources-bibliography.md,"Main report (~18,900 words), updated with the EASA/Frontex neutralisation-competence finding, the NATO $40bn pledge caveats, EU delivery timelines, and a seventh stated limitation on unsecured French/Nordic/Belgian agency primary sourcing. || Source register, with the Drone Strategy citation corrected to COM(2022) 652 final and its supersession by COM(2026) 81 final noted."
1790325476574,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,4,2,AI-Autonomy-Threat-Assessment-2026.md|sources-bibliography.md,"Main report (~19,300 words), now with SEDENA's Mexican attack and seizure series, the Apatzingán helicopter strike, the Los Viagras foreign-expertise-transfer arrests, regional confirmation that autonomy is absent, and the officially denied Michoacán chemical-payload claim. || Consolidated source register (unchanged this round)."
1790325547534,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,5,2,AI-Autonomy-Threat-Assessment-2026.md|sources-bibliography.md,"Main report (~20,400 words), final: Tower 22's human-factors failure, Hezbollah's 3D-printed fibre-optic FPV, corrected Somalia/Sahel findings, the Elbit–NATO automation-pull datapoint, and the section on France/Nordics/Belgium where the official record is weaker than the debate assumes. || Consolidated source register with grades, confidence, flagged weak evidence and stated research gaps (unchanged this round)."
1790328610817,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,7,8,amplification/Agentic-Threat-Amplification-2026.md|amplification/findings/01-concepts.md|amplification/findings/02-risk-psychology.md|amplification/findings/03-computational-propaganda.md|amplification/findings/04-agentic-capability.md|amplification/findings/drone-cases-amplification-retractions.md|amplification/findings/07-counterexamples.md|amplification/findings/06-health-military-cases.md,"Main study (~18,000 words): hypothesis in falsifiable form; concept-fit audit; causal chain with the institutional amplifier identified; five-category taxonomy; capability assessment across four evidence levels; the central negative finding; disconfirming evidence with effect sizes; detection and in || Concept-fit audit: reflexive control, strategy of tension, DNS amplification, SARF, availability cascades, rumour theory — with fit ratings and the 'configuration, not mechanism' verdict. || Risk psychology and sociology: SARF and its critics, availability cascades, moral panic, rumour theory, and the emergent-vs-engineerable verdict. || Computational propaganda 2023–2026: Storm-1516, Doppelganger, Spamouflage, EEAS FIMI data, and what is actually known about effectiveness. || Agentic capability with effect sizes: persuasion RCTs, the 524:1 distribution-to-generation asymmetry, persona persistence, synthetic corroboration, and the negative findings on rebuttal evasion and microtargeting. || Drone-sighting cases and retractions: Copenhagen, Belgium, Norway, Vilnius, Borris, plus the documented search that produced the central negative finding. || Counterexamples and resilience limits: IRA nulls, minimal-effects literature, prebunking effect sizes, panic burnout, and the six conditions that must all hold. || Health and military scare cases: Havana syndrome, the 2023 balloons, UAP — with the five institutional predictors of durability."
1790328828144,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,8,3,amplification/Agentic-Threat-Amplification-2026.md|amplification/findings/03-computational-propaganda.md|amplification/findings/04-agentic-capability.md,"Main study (~19,350 words), updated: the liar's dividend, reach-renting counterweight, synthetic-corroboration escalation, and the largest evidence gap flagged. || Computational propaganda 2023–2026, including the EEAS FIMI data and the case table behind the production-vs-reach finding. || Agentic capability with effect sizes and the 524:1 distribution asymmetry."
1790328922441,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,9,3,amplification/Agentic-Threat-Amplification-2026.md|amplification/findings/04-agentic-capability.md|amplification/findings/06-health-military-cases.md,"Main study (~20,300 words), final: broadcast-vs-conversation correction, the liar's dividend, reach-renting, the legal vacuum, cost reality check, and six institutional durability predictors. || Agentic capability with effect sizes, the pooled meta-analysis and its interactivity moderator, and the 524:1 distribution asymmetry. || Health and military scares: Havana, the 2023 balloons, UAP, Tylenol — with the six institutional predictors of durability."
1790329061542,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,10,3,amplification/Agentic-Threat-Amplification-2026.md|amplification/findings/03-computational-propaganda.md|amplification/findings/06-health-military-cases.md,"Main study (~21,300 words), final: the synthetic-corroboration claim withdrawn and replaced with trust-laundering; the liar's dividend bounded; the 0.3% production-to-reach ratio; and withdrawn figures recorded with their direction of error. || Computational propaganda 2023–2026 — the strand whose literature check overturned the multi-source hypothesis. || Health and military scares: Havana, the 2023 balloons, UAP — with the six institutional predictors of durability."
1790329177678,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,11,3,amplification/Agentic-Threat-Amplification-2026.md|amplification/findings/04-agentic-capability.md|amplification/findings/03-computational-propaganda.md,"Main study (~22,200 words), final: the failure mechanism, the enforcement asymmetry, the labelling warning, the upper-bound caveat on all reach figures, and the Breakout Scale downgrade caution. || Agentic capability with effect sizes, the synthesis mechanism, the enforcement asymmetry and the 1000:1 cost derivation. || Computational propaganda 2023–2026 — the strand whose literature check overturned the multi-source hypothesis."
